spotify_id,spotify_name,spotify_popularity
1RMUSljuiZKUNaf6xskK9n,My Love,59
5bAed2aRbQbjDZF9qkNSA2,"Hui Malang (From ""Malang - Unleash The Madness"")",56
5QVHNa0ppJUOoqSd36ovQS,"Pachtaoge (From ""Jaani Ve"")",62
3ugHD1hbqLwHl4ubH72EbU,Sacanagenzinha (Ao Vivo),54
7hj4Xv47rqWXyEZRmmQm7G,Busje (feat. Chivv & Lauwtje),58
0Gxu72aE3CBjF1W2owLLnW,"Wake Up Call (feat. Trippie Redd, Tobi & P Money) - Yoshi Remix",47
1heN1fuesAqx4WRlQFkCLJ,怪物さん,39
52Cpyvd2dKb6XRn313nH87,Ojos De Maniaco,68
1CJvFjaXKz2yuQWzICeIRo,Tell My Mama,51
1w9a84nSrTyjNjYviMYvJh,Permanent,53
6RksBSj5fFtPkUnL2EE0oe,Darkness Settles In,64
4sRryr1aCDIbVdj2LnBwsR,Sweatpants,52
229kY9iSbfDh0TasEWkZot,Still Fighting It,55
664jBL8NgKFYdiMK9bnCcz,Atlas,57
30igLvddUr2vfw1hfM9EpZ,Rave,52
0kkgT94yZF9ZdbNBj6IgGr,Under The Sun,41
0wPfUQUkWcguy2iUH0BWOT,Baby,57
4XjwHKoDGFWHFi45edRl7y,Look Into My Eyes,57
4dRNNBipJ6wwSEEwa4FfcY,Strawberry's Wake,54
7wx0FTZNpicjRvEQwYzxZm,The Hill of Yearning,52
7ADlvg3uIjCvItqeJPgDbu,TING TING TING (with Oliver Heldens),54
1gdLUGdyYpXcckmzP1rTUm,Play It Cool,53
6KMvWbvvvD205ZhvXmjxVr,Skrable,56
6Sk8FdL95YNN8Xru87BWez,小さな惑星,52
1BiXkuVBXz9IzP7210Zo9I,Side Effects,62
21TM6acDWDZOzvamVZnlsD,Bien Tumbado,46
0mHU8dcIvGrGDazLMmQpSg,Tujhe Kitna Chahein Aur (Film Version),62
5KqOPtE8nhYtgcXzrIt6N0,A Song Written Easily,57
6kckNpuM5oXZrObLExRg6d,Road,63
7tkW6IFLcq5x9AS7eb4m2q,Machinegeweer,44
60v8m0VhlTqw7GgIQDxNbq,Are You Feeling Sad?,58
7MtpW10epOD3sUtURL5ZDu,Nobody,56
7iRhRje7iUo99rkUo3hmGB,Bye Bye,55
3ZWCWArPYr1v0iF763oSOz,Crossroads,52
1q2bu7PaEUUiFJYFsAiHiz,ICE AGE,56
77riTlvCLV3K8O0glNiQ8B,Surma Surma,53
0426sxcv7PyELEs0sn4nMW,Equilibrium,34
5dxoI7r19Bwb6U57iTnpxk,El Capitan,56
2KaJryomBxy8UxpjCAkvvY,Kom Wat Dichterbij - Uit Liefde Voor Muziek,45
7iQTGSIl9m4jofHBGby9kZ,2YA2YAO!,52
6rSUrh8ErKSKfbH0t0IzCM,Moment,61
25BZAjcfwNaOLsiJjXcARH,Mi Pretexto de Borracho (Feat. Enigma Norteño),56
34uFGhYCuGhGLfd0mPQO4w,W domach z betonu,50
2t2MD9sVs9PO1H3yphwWm2,Prisoner,56
3LAHbEBvDfj38gcUTA8bS7,Get Cool,57
784sL41vxkXGhiZav8PkZf,Two of Us,38
3HHjFGHCT8sxM5i6oNcoFx,Mutter,57
2Krx8XFVrq2nvzCvJaXlO9,Milion,53
0VPkaJMRQIhYWXiE1LqaCK,Hero too,63
67lCDm8Z4KcFQPIRrqaaQr,THAT’S A NO NO,54
1WzOH0E1W1z5jcLluumQGE,"Bezubaan Kab Se (From ""Street Dancer 3D"")",48
7xH1V8qRKEOCCqIJBvlTva,Love Song,50
7Jo4yv6Iiwxla5z10lE1L9,"Sip Sip 2.0 (From ""Street Dancer 3D"")",54
33txTXgQioQ5eaXc7yWd67,White Night,46
0fDEDcUApzHMvBlIIKcmMk,Best Friends,50
3f0wz6zcA7XkQiGm0qNF5r,"Thodi Jagah (From ""Marjaavaan"")",62
